symbol,year_id,sales,expenses,operating_profit,opm_pct,other_income,interest,depreciation,profit_before_tax,tax_pct,net_profit,eps,dividend_payout_pct,net_profit_margin_pct,expense_ratio_pct,interest_coverage,asset_turnover,return_on_assets,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,equity_ratio,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,cash_conversion_ratio,company_name,sector_id,sub_sector,company_logo,website,nse_url,bse_url,about_company,sector_name,sector_code,description,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order,profitability,revenue_growth,de_ratio,cash_flow_quality,dividend_score,profit_growth,profitability_score,revenue_growth_score,cashflow_score,dividend_score_norm,growth_trend_score,leverage_score,health_score,health_label
ABB,201212,1653.0,1451.0,202.0,12.220205686630369,33.0,0.0,19.0,215.0,33.0,145.0,68.0,25.0,8.771929824561402,87.77979431336964,0.0,1.822491730981257,15.986769570011026,21.0,626.0,0.0,260.0,907.0,109.0,1.0,0.0,798.0,907.0,0.0,0.7133406835722161,101.0,-59.0,-42.0,1.0,42.0,0.696551724137931,Abbott India Ltd,11,Electrical Equipment,https://mkt.in/static/mkt-icons ifty100/ABB.png,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Industrial,INDUSTRIAL,Engineering and capital goods companies,Dec 2012,2013.0,Q3,False,False,201212,12.379349697286214,0.0,0.0,0.2896551724137931,25.0,0.0,63.48314606741573,19.9438202247191,45.0374531835206,51.49812734082397,33.848314606741575,96.16104868913857,54.38202247191011,AVERAGE
ABB,201403,2276.0,2009.0,267.0,11.731107205623902,49.0,0.0,22.0,295.0,33.0,198.0,93.0,25.0,8.699472759226714,88.2688927943761,0.0,1.9982440737489024,17.383669885864794,21.0,767.0,0.0,351.0,1139.0,98.0,1.0,0.0,1040.0,1139.0,0.0,0.6918349429323969,0.0,0.0,0.0,0.0,0.0,0.0,Abbott India Ltd,11,Electrical Equipment,https://mkt.in/static/mkt-icons ifty100/ABB.png,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Industrial,INDUSTRIAL,Engineering and capital goods companies,Mar 2014,2014.0,Q4,False,False,201403,13.041571322545753,0.3768905021173623,0.0,0.0,25.0,0.3655172413793104,66.94756554307116,92.22846441947566,33.09925093632959,51.49812734082397,79.68164794007491,96.16104868913857,72.49765917602997,GOOD
ABB,201503,2289.0,1977.0,312.0,13.630406290956753,48.0,0.0,15.0,344.0,34.0,229.0,108.0,29.0,10.004368719965049,86.36959370904324,0.0,1.665938864628821,16.666666666666664,21.0,916.0,0.0,436.0,1374.0,96.0,4.0,0.0,1274.0,1374.0,0.0,0.6819505094614265,-35.0,-1864.0,1902.0,3.0,-1899.0,-0.1528384279475982,Abbott India Ltd,11,Electrical Equipment,https://mkt.in/static/mkt-icons ifty100/ABB.png,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Industrial,INDUSTRIAL,Engineering and capital goods companies,Mar 2015,2015.0,Q4,False,False,201503,13.335517693315857,0.005711775043936829,0.0,-5.0,29.0,0.15656565656565657,67.60299625468164,25.56179775280899,2.9494382022471908,58.473782771535575,60.767790262172284,96.16104868913857,53.6118913857678,AVERAGE
ABB,201603,2614.0,2250.0,365.0,13.963274674827847,50.0,3.0,14.0,398.0,36.0,255.0,120.0,29.0,9.755164498852334,86.07498087222648,121.66666666666669,1.6175742574257426,15.77970297029703,21.0,1174.0,0.0,421.0,1616.0,108.0,3.0,0.0,1505.0,1616.0,0.0,0.739480198019802,1544.0,-816.0,-722.0,6.0,728.0,6.0549019607843135,Abbott India Ltd,11,Electrical Equipment,https://mkt.in/static/mkt-icons ifty100/ABB.png,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Industrial,INDUSTRIAL,Engineering and capital goods companies,Mar 2016,2016.0,Q4,False,False,201603,12.767433734574682,0.1419833988641328,0.0,2.854901960784314,29.0,0.11353711790393017,65.63670411985018,63.29588014981273,91.85393258426966,58.473782771535575,53.65168539325843,96.16104868913857,73.29119850187266,GOOD
ABB,201703,2903.0,2505.0,398.0,13.709955218739236,57.0,2.0,16.0,436.0,37.0,277.0,130.0,31.0,9.541853255253187,86.29004478126076,199.0,1.40513068731849,13.407550822846078,21.0,1366.0,0.0,679.0,2066.0,110.0,6.0,0.0,1950.0,2066.0,0.0,0.6713455953533398,2189.0,-1730.0,-455.0,4.0,459.0,7.902527075812275,Abbott India Ltd,11,Electrical Equipment,https://mkt.in/static/mkt-icons ifty100/ABB.png,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Industrial,INDUSTRIAL,Engineering and capital goods companies,Mar 2017,2017.0,Q4,False,False,201703,11.474702039049632,0.1105585309869932,0.0,1.6570397111913358,31.0,0.08627450980392148,59.08239700374532,52.99625468164793,86.61048689138576,63.249063670411985,48.970037453183515,96.16104868913857,68.81554307116106,AVERAGE
ABB,201803,3298.0,2774.0,525.0,15.918738629472406,117.0,4.0,16.0,621.0,35.0,401.0,189.0,29.0,12.15888417222559,84.11158277744087,131.25,1.365066225165563,16.5976821192053,21.0,1672.0,0.0,723.0,2416.0,81.0,2.0,0.0,2333.0,2416.0,0.0,0.7007450331125827,2198.0,-3192.0,1589.0,596.0,-994.0,5.4812967581047385,Abbott India Ltd,11,Electrical Equipment,https://mkt.in/static/mkt-icons ifty100/ABB.png,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Industrial,INDUSTRIAL,Engineering and capital goods companies,Mar 2018,2018.0,Q4,False,False,201803,14.378283145715445,0.1360661384774371,0.0,-2.478802992518703,29.0,0.447653429602888,70.69288389513109,61.70411985018727,11.423220973782772,58.473782771535575,83.52059925093633,96.16104868913857,65.15917602996255,AVERAGE
ABB,201903,3679.0,3074.0,605.0,16.444686055993476,113.0,2.0,17.0,699.0,36.0,450.0,212.0,31.0,12.231584669747214,83.55531394400653,302.5,1.2509350561033663,15.300918055083304,21.0,1987.0,0.0,932.0,2941.0,105.0,1.0,0.0,2835.0,2941.0,0.0,0.6827609656579394,2591.0,-3050.0,38.0,-421.0,-459.0,5.757777777777778,Abbott India Ltd,11,Electrical Equipment,https://mkt.in/static/mkt-icons ifty100/ABB.png,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Industrial,INDUSTRIAL,Engineering and capital goods companies,Mar 2019,2019.0,Q4,False,False,201903,13.76625136241526,0.11552456033959979,0.0,-1.02,31.0,0.12219451371571077,68.53932584269663,55.89887640449438,19.288389513108616,63.249063670411985,55.430711610486895,96.16104868913857,62.308052434456926,AVERAGE
ABB,202003,4093.0,3336.0,757.0,18.49499144881505,114.0,9.0,60.0,803.0,26.0,593.0,279.0,90.0,14.488150500855118,81.50500855118496,84.11111111111111,1.153932901043135,16.718353538201296,21.0,2410.0,175.0,940.0,3547.0,270.0,2.0,0.0,3275.0,3547.0,0.071986836692719,0.6853679165491965,5437.0,-5643.0,1250.0,1045.0,-206.0,9.168634064080944,Abbott India Ltd,11,Electrical Equipment,https://mkt.in/static/mkt-icons ifty100/ABB.png,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Industrial,INDUSTRIAL,Engineering and capital goods companies,Mar 2020,2020.0,Q4,False,False,202003,15.603252019528206,0.1125305789616744,0.071986836692719,-0.3473861720067454,90.0,0.3177777777777777,75.84269662921348,53.745318352059925,26.31086142322097,96.76966292134831,76.12359550561798,70.88014981273409,65.12172284644194,AVERAGE
ABB,202103,4310.0,3388.0,922.0,21.392111368909514,81.0,18.0,58.0,926.0,25.0,691.0,325.0,85.0,16.03248259860789,78.60788863109049,51.22222222222222,1.1223958333333333,17.994791666666668,21.0,2581.0,153.0,1086.0,3840.0,251.0,1.0,0.0,3589.0,3840.0,0.0588009223674096,0.6776041666666667,3784.0,-4009.0,-745.0,-969.0,-225.0,5.476121562952243,Abbott India Ltd,11,Electrical Equipment,https://mkt.in/static/mkt-icons ifty100/ABB.png,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Industrial,INDUSTRIAL,Engineering and capital goods companies,Mar 2021,2021.0,Q4,False,False,202103,17.013637132637278,0.05301734668946989,0.0588009223674096,-0.3256150506512301,85.0,0.16526138279932545,79.86891385767791,36.70411985018727,26.498127340823967,96.06741573033707,61.61048689138576,73.03370786516854,61.65730337078652,AVERAGE
ABB,202203,4913.0,3832.0,1082.0,22.023203745165887,83.0,19.0,66.0,1080.0,26.0,799.0,376.0,73.0,16.26297577854671,77.99715041726033,56.94736842105263,1.1631155303030305,18.915719696969692,21.0,2799.0,152.0,1253.0,4224.0,271.0,1.0,0.0,3952.0,4224.0,0.0539007092198581,0.6676136363636364,4097.0,-3936.0,-235.0,-75.0,161.0,5.127659574468085,Abbott India Ltd,11,Electrical Equipment,https://mkt.in/static/mkt-icons ifty100/ABB.png,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Industrial,INDUSTRIAL,Engineering and capital goods companies,Mar 2022,2022.0,Q4,False,False,202203,17.589347737758203,0.13990719257540607,0.0539007092198581,0.20150187734668334,73.0,0.15629522431259035,81.17977528089888,63.014981273408246,41.10486891385768,93.25842696629213,60.67415730337079,73.68913857677903,69.19475655430712,AVERAGE
