symbol,year_id,sales,expenses,operating_profit,opm_pct,other_income,interest,depreciation,profit_before_tax,tax_pct,net_profit,eps,dividend_payout_pct,net_profit_margin_pct,expense_ratio_pct,interest_coverage,asset_turnover,return_on_assets
ABB,201212,1653,1451,202.0,12.220205686630369,33,0,19,215,33.0,145,68.0,25.0,8.771929824561402,87.77979431336964,,1.822491730981257,15.986769570011026
ABB,201403,2276,2009,267.0,11.731107205623902,49,0,22,295,33.0,198,93.0,25.0,8.699472759226714,88.2688927943761,,1.9982440737489024,17.383669885864794
ABB,201503,2289,1977,312.0,13.630406290956751,48,0,15,344,34.0,229,108.0,29.0,10.004368719965049,86.36959370904324,,1.665938864628821,16.666666666666664
ABB,201603,2614,2250,365.0,13.963274674827849,50,3,14,398,36.0,255,120.0,29.0,9.755164498852334,86.07498087222648,121.66666666666667,1.6175742574257426,15.77970297029703
ABB,201703,2903,2505,398.0,13.709955218739237,57,2,16,436,37.0,277,130.0,31.0,9.541853255253187,86.29004478126076,199.0,1.40513068731849,13.407550822846078
ABB,201803,3298,2774,525.0,15.918738629472406,117,4,16,621,35.0,401,189.0,29.0,12.15888417222559,84.11158277744087,131.25,1.365066225165563,16.5976821192053
ABB,201903,3679,3074,605.0,16.444686055993476,113,2,17,699,36.0,450,212.0,31.0,12.231584669747214,83.55531394400653,302.5,1.2509350561033663,15.300918055083304
ABB,202003,4093,3336,757.0,18.49499144881505,114,9,60,803,26.0,593,279.0,90.0,14.488150500855118,81.50500855118496,84.11111111111111,1.153932901043135,16.718353538201296
ABB,202103,4310,3388,922.0,21.392111368909514,81,18,58,926,25.0,691,325.0,85.0,16.03248259860789,78.60788863109049,51.22222222222222,1.1223958333333333,17.994791666666668
ABB,202203,4913,3832,1082.0,22.023203745165887,83,19,66,1080,26.0,799,376.0,73.0,16.26297577854671,77.99715041726033,56.94736842105263,1.1631155303030303,18.915719696969695
ABB,202303,5349,4143,1206.0,22.546270330902974,154,16,70,1274,25.0,949,447.0,73.0,17.74163395027108,77.45372966909703,75.375,1.1740561896400352,20.82967515364355
ABB,202403,5849,4396,1453.0,24.84185330825782,248,12,71,1618,26.0,1201,565.0,73.0,20.533424517011454,75.15814669174217,121.08333333333333,1.1263238975544,23.127286732139417
ABB,999999,6066,4519,1547.0,25.502802505769868,265,11,72,1728,,1285,605.0,,21.183646554566433,74.49719749423014,140.63636363636363,,
ADANIENSOL,201403,0,0,0.0,,0,0,0,0,0.0,0,0.0,,,,,,
ADANIENSOL,201503,131,29,101.0,77.09923664122137,3,73,37,-5,34.0,-7,0.0,0.0,-5.343511450381679,22.137404580152673,1.3835616438356164,0.011399234249912982,-0.06091193873999304
ADANIENSOL,201603,2194,267,1927.0,87.83044667274385,70,957,560,480,23.0,368,3.0,0.0,16.773017319963536,12.169553327256153,2.013584117032393,0.18678699131619275,3.1329814404903797
ADANIENSOL,201703,2876,893,1983.0,68.94993045897078,22,904,569,532,22.0,416,4.0,0.0,14.464534075104313,31.050069541029206,2.1935840707964602,0.22449457497463118,3.2472094293966123
ADANIENSOL,201803,3944,1118,2826.0,71.65314401622717,111,886,579,1472,22.0,1143,10.0,0.0,28.98073022312373,28.346855983772816,3.1896162528216703,0.22843903851723138,6.620330147697655
ADANIENSOL,201903,7305,4528,2778.0,38.02874743326489,336,1391,882,840,33.0,559,5.0,0.0,7.652292950034223,61.98494182067077,1.9971243709561466,0.2243688187235088,1.716935929725413
ADANIENSOL,202003,11416,7158,4258.0,37.29852838121934,261,2238,1174,1107,36.0,706,7.0,0.0,6.184302733006307,62.70147161878066,1.902591599642538,0.2874770214801944,1.7778449296164793
ADANIENSOL,202103,9926,5976,3950.0,39.79447914567802,1115,2117,1329,1620,20.0,1290,11.0,0.0,12.996171670360667,60.20552085432198,1.8658478979688238,0.22958782439746495,2.9837627792940737
ADANIENSOL,202203,11258,7051,4206.0,37.360099484810796,1286,2365,1427,1700,27.0,1236,11.0,0.0,10.978859477704743,62.63101794279623,1.7784355179704017,0.23719029158941513,2.604078880836002
ADANIENSOL,202303,13293,8775,4518.0,33.98781313473256,1583,2781,1608,1712,25.0,1281,11.0,0.0,9.636650868878357,66.01218686526742,1.6245954692556634,0.24647704516798932,2.3752132314766743
ADANIENSOL,202403,16607,10896,5711.0,34.38911302462817,611,2767,1776,1780,33.0,1196,10.0,0.0,7.201782380923707,65.61088697537183,2.063968196602819,0.2836960606785336,2.043117291332126
ADANIENSOL,999999,22099,15507,6592.0,29.829404045431918,-844,3183,1912,653,,589,6.0,,2.665278971899181,70.17059595456809,2.0710021991831606,,
ADANIENT,201303,46375,40354,6021.0,12.983288409703503,1775,3492,2298,2005,39.0,1218,15.0,10.0,2.6264150943396225,87.0167115902965,1.7242268041237114,0.41453996120531683,1.0887540113166057
ADANIENT,201403,54947,45564,9383.0,17.07645549347553,1157,5703,3223,1614,-64.0,2646,20.0,7.0,4.815549529546654,82.92354450652446,1.6452744169735227,0.4652503767929417,2.240436233086654
ADANIENT,201503,64465,52015,12450.0,19.312805398278137,792,7056,3522,2663,14.0,2298,18.0,8.0,3.564725044597844,80.68719460172187,1.7644557823129252,0.4931608500742055,1.757982833274683
ADANIENT,201603,34008,32325,1684.0,4.951776052693484,1044,1357,314,1056,7.0,1000,9.0,4.0,2.9404845918607387,95.05116443189837,1.2409727339719971,0.8159504786583172,2.399289810216176
ADANIENT,201703,36533,34631,1902.0,5.206251881860236,749,1257,315,1079,25.0,925,9.0,4.0,2.5319574083705145,94.79374811813976,1.5131264916467781,0.7673226775325029,1.9428283379891202
ADANIENT,201803,35924,33886,2038.0,5.673087629439929,363,1250,664,487,23.0,594,7.0,6.0,1.653490702594366,94.32691237056007,1.6304,0.6368938923854268,1.0530981295984398
ADANIENT,201903,40379,38409,1969.0,4.876297085118502,504,1625,390,459,32.0,506,7.0,6.0,1.2531266252259838,95.12122638004904,1.2116923076923076,0.9492900131653188,1.1895805905585857
ADANIENT,202003,43403,41108,2294.0,5.285348939013432,872,1572,472,1122,29.0,1040,10.0,10.0,2.3961477317236133,94.71234707278299,1.4592875318066159,0.9259306666666667,2.2186666666666666
ADANIENT,202103,39537,37031,2506.0,6.338366593317652,494,1377,537,1086,31.0,1046,8.0,12.0,2.645623087234742,93.66163340668234,1.8198983297022513,0.7659685762442606,2.026464149408141
ADANIENT,202203,69420,65707,3714.0,5.3500432152117545,1012,2526,1248,952,50.0,788,7.0,14.0,1.135119562085854,94.65139729184673,1.4703087885985748,0.6833618805740949,0.7756974386234324
ADANIENT,202303,127540,118722,8818.0,6.913909361768857,834,3969,2436,3247,32.0,2422,22.0,6.0,1.899012074643249,93.08609063823114,2.2217183169564123,0.9027590990812441,1.7143504296493437
ADANIENT,202403,96421,85044,11377.0,11.799296833677312,1146,4555,3042,4926,33.0,3335,28.0,5.0,3.458790097592848,88.2007031663227,2.497694840834248,0.6004321671876751,2.076768834144944
ADANIENT,999999,102311,88418,13893.0,13.579185033867326,1489,4150,3541,7691,,6086,49.0,,5.948529483633235,86.42081496613268,3.347710843373494,,
ADANIGREEN,201703,502,98,403.0,80.2788844621514,80,334,333,-184,-75.0,-47,0.0,0.0,-9.362549800796813,19.52191235059761,1.2065868263473054,0.08149350649350649,-0.762987012987013
ADANIGREEN,201803,1480,637,843.0,56.95945945945946,42,552,543,-210,-35.0,-138,-1.0,0.0,-9.324324324324325,43.04054054054054,1.5271739130434783,0.09421350818002419,-0.8784773060029283
