symbol,company_name,sector_id,sub_sector,company_logo,website,nse_url,bse_url,face_value,book_value,about_company
POWERGRID,Power Grid Corporation of India Ltd,16,Transmission,https://mkt.in/static/mkt-icons ifty100/POWERGRID.png,https://www.powergrid.in/,https://www.nseindia.com/get-quotes/equity?symbol=POWERGRID,https://www.bseindia.com/stock-share-price/power-grid-corporation-of-india-ltd/POWERGRID/532898/,10.0,99.0,"Power Grid Corporation of India Limited is a Maharatna CPSU and India's largest electric power transmission company. GoI holds a 51.34% stake in the company as on March 31, 2021. PGCIL was incorporated in 1989 to set up extra-high voltage alternating current and high-voltage direct current (HVDC) transmission lines. The company moves large blocks of power from the central generating agencies and areas that have surplus power to load centres within and across regions. It is under the administrative control of the Ministry of Power, GoI. PGCIL also executes several strategically important projects, assigned to the company by GoI on nomination basis. Power Grid Corporation of India is principally engaged in planning, implementation, operation and maintenance of Inter-State Transmission System (ISTS), Telecom and consultancy services."
RECLTD,REC Ltd,14,Infrastructure Finance,https://mkt.in/static/mkt-icons ifty100/RECLTD.png,https://recindia.nic.in/,https://www.nseindia.com/get-quotes/equity?symbol=RECLTD,https://www.bseindia.com/stock-share-price/rec-ltd/RECLTD/532955/,10.0,279.0,REC is a Central Public Sector Undertaking under the Ministry of Power involved in financing projects in the complete power sector value chain from generation to distribution. [1]
RELIANCE,Reliance Industries Ltd,6,Oil & Gas,https://mkt.in/static/mkt-icons ifty100/RELIANCE.png,https://www.ril.com/,https://www.nseindia.com/get-quotes/equity?symbol=RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/RELIANCE/500325/,10.0,606.0,"Reliance was founded by Dhirubhai Ambani and is now promoted and managed by his elder son, Mukesh Dhirubhai Ambani. Ambani's family has about 50% shareholding in the conglomerate."
SBILIFE,SBI Life Insurance Company Ltd,12,Life Insurance,https://mkt.in/static/mkt-icons ifty100/SBILIFE.png,https://www.sbilife.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=SBILIFE,https://www.bseindia.com/stock-share-price/sbi-life-insurance-company-ltd/SBILIFE/540719/,10.0,162.0,SBI Life Insurance Company Ltd is engaged in the business of life insurance and annuity. It was started as a Joint-venture between State Bank of India and BNP Paribas Cardif S.A.[1]
SBIN,State Bank of India,2,Public Bank,https://mkt.in/static/mkt-icons ifty100/SBIN.png,https://sbi.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=SBIN,https://www.bseindia.com/stock-share-price/state-bank-of-india/SBIN/500112/,1.0,465.0,"State Bank of India is a Fortune 500 company. It is an Indian Multinational, Public Sector banking and financial services statutory body headquartered in Mumbai. It is the largest and oldest bank in India with over 200 years of history.[1]"
SHREECEM,Shree Cement Ltd,3,Cement,https://mkt.in/static/mkt-icons ifty100/SHREECEM.png,https://www.shreecement.com/,https://www.nseindia.com/get-quotes/equity?symbol=SHREECEM,https://www.bseindia.com/stock-share-price/shree-cement-ltd/SHREECEM/500387/,10.0,5787.0,Shree Cement is engaged in manufacturing and selling of cement and cement related products and is ** one of the lowest cost producers in the country. It is the 3rd largest** cement
SHRIRAMFIN,Shriram Finance Ltd,14,Lending,https://mkt.in/static/mkt-icons ifty100/SHRIRAMFIN.png,https://www.shriramfinance.in/,https://www.nseindia.com/get-quotes/equity?symbol=SHRIRAMFIN,https://www.bseindia.com/stock-share-price/shriram-finance-ltd/SHRIRAMFIN/511218/,2.0,279.0,Business Overview Shriram Transport Finance Company Ltd is a part of the SHRIRAM Group conglomerate which has a significant presence in the financing business. STFC is engaged in t
SIEMENS,Siemens Ltd,11,Capital Goods,https://mkt.in/static/mkt-icons ifty100/SIEMENS.png,https://www.siemens.com/in/en.html,https://www.nseindia.com/get-quotes/equity?symbol=SIEMENS,https://www.bseindia.com/stock-share-price/siemens-ltd/SIEMENS/500550/,2.0,431.0,"Siemens Limited offers products, integrated solutions for industrial applications for manufacturing industries, drives for process"
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,8,Pharma,https://mkt.in/static/mkt-icons ifty100/SUNPHARMA.png,https://sunpharma.com/,https://www.nseindia.com/get-quotes/equity?symbol=SUNPHARMA,https://www.bseindia.com/stock-share-price/sun-pharmaceuticals-industries-ltd/SUNPHARMA/524715/,1.0,288.0,"Sun Pharmaceutical Industries Ltd is engaged in the business of manufacturing, developing and marketing a wide range of branded and generic formulations and Active Pharma Ingredients (APIs). The company and its subsidiaries has various manufacturing facilities spread across the world with trading and other incidental and related activities extending to global market.[1] It is the largest pharmaceutical company in India.[2]"
TATACONSUM,Tata Consumer Products Ltd,4,FMCG,https://mkt.in/static/mkt-icons ifty100/TATACONSUM.png,https://www.tataconsumer.com/,https://www.nseindia.com/get-quotes/equity?symbol=TATACONSUM,https://www.bseindia.com/stock-share-price/tata-consumer-products-ltd/TATACONSUM/500800/,1.0,193.0,"Tata Consumer Products Ltd. is one of the leading companies of the Tata Group, with presence in the food and beverages business in India and internationally. It is the second largest tea company globally and has significant market presence and leadership in many markets. In addition to South Asia (mainly India), it has presence in various other geographies including Canada, UK, North America, Australia, Europe, Middle East and Africa. [1]"
